report_date,Total cases,Total deaths,CFR_percent,Total cases_raw,Total deaths_raw
2014-08-29,1026,422,41.13,1026,422
2014-09-05,1261,491,38.94,1261,491
2014-09-08,1361,509,37.4,1361,509
2014-09-12,1424,524,36.8,1424,524
2014-09-16,1620,562,34.69,1620,562
2014-09-18,1673,562,33.59,1673,562
2014-09-22,1813,593,32.71,1813,593
2014-09-24,1940,597,30.77,1940,597
2014-09-26,2021,605,29.94,2021,605
2014-10-01,2304,622,27.0,2304,622
2014-10-03,2437,623,25.56,2437,623
2014-10-08,2789,879,31.52,2789,879
2014-10-10,2950,930,31.53,2950,930
2014-10-15,3252,1183,36.38,3252,1183
2014-10-17,3410,1200,35.19,3410,1200
2014-10-22,3706,1259,33.97,3706,1259
2014-10-25,3896,1281,32.88,3896,1281
2014-10-29,5235,1500,28.65,5235,1500
2014-10-31,5338,1510,28.29,5338,1510
2014-11-05,5338,1510,28.29,4759,1070
2014-11-07,5338,1510,28.29,4862,1130
2014-11-12,5368,1510,28.13,5368,1169
2014-11-14,5586,1510,27.03,5586,1187
2014-11-19,6073,1510,24.86,6073,1250
2014-11-21,6190,1510,24.39,6190,1267
2014-11-26,6599,1510,22.88,6599,1398
2014-12-01,7109,1530,21.52,7109,1530
2014-12-03,7312,1583,21.65,7312,1583
2014-12-10,7897,1768,22.39,7897,1768
2014-12-15,8273,2033,24.57,8273,2033
2014-12-17,8356,2085,24.95,8356,2085
2014-12-19,8759,2477,28.28,8759,2477
2014-12-22,8939,2556,28.59,8939,2556
2014-12-23,9004,2582,28.68,9004,2582
2014-12-26,9203,2655,28.85,9203,2655
2014-12-29,9409,2732,29.04,9409,2732
2014-12-30,9446,2758,29.2,9446,2758
2015-01-02,9633,2827,29.35,9633,2827
2015-01-05,9772,2915,29.83,9772,2915
2015-01-06,9780,2943,30.09,9780,2943
2015-01-14,10124,3062,30.24,10124,3062
2015-01-21,10340,3145,30.42,10340,3145
2015-01-28,10518,3199,30.41,10518,3199
2015-02-04,10740,3276,30.5,10740,3276
2015-02-11,10934,3341,30.56,10934,3341
2015-02-18,11103,3408,30.69,11103,3408
2015-02-25,11301,3461,30.63,11301,3461
2015-03-04,11466,3546,30.93,11466,3546
2015-03-11,11619,3629,31.23,11619,3629
2015-03-18,11751,3691,31.41,11751,3691
2015-03-25,11841,3747,31.64,11841,3747
2015-04-01,11974,3799,31.73,11974,3799
2015-04-08,12138,3831,31.56,12138,3831
2015-04-15,12201,3857,31.61,12201,3857
2015-04-22,12267,3877,31.61,12267,3877
2015-04-29,12317,3899,31.66,12317,3899
2015-05-06,12440,3903,31.37,12440,3903
2015-05-13,12523,3904,31.17,12523,3904
2015-05-20,12632,3907,30.93,12632,3907
2015-05-27,12706,3908,30.76,12706,3908
2015-06-03,12827,3912,30.5,12827,3912
2015-06-10,12901,3915,30.35,12901,3915
2015-06-17,12965,3919,30.23,12965,3919
2015-06-24,13059,3928,30.08,13059,3928
2015-07-01,13119,3932,29.97,13119,3932
2015-07-08,13155,3940,29.95,13155,3940
2015-07-15,13209,3947,29.88,13209,3947
2015-07-22,13250,3949,29.8,13250,3949
2015-07-29,13290,3951,29.73,13290,3951
2015-08-05,13406,3951,29.47,13406,3951
2015-08-12,13470,3951,29.33,13470,3951
2015-08-19,13494,3952,29.29,13494,3952
2015-08-26,13494,3952,29.29,13451,3952
2015-09-02,13609,3953,29.05,13609,3953
2015-09-09,13683,3953,28.89,13683,3953
2015-09-16,13756,3953,28.74,13756,3953
2015-09-23,13823,3955,28.61,13823,3955
2015-09-30,13911,3955,28.43,13911,3955
2015-10-07,13945,3955,28.36,13945,3955
2015-10-14,13982,3955,28.29,13982,3955
2015-10-21,14001,3955,28.25,14001,3955
2015-10-28,14061,3955,28.13,14061,3955
2015-11-04,14089,3955,28.07,14089,3955
2015-11-11,14122,3955,28.01,14122,3955
